data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,RI,label,beta,gamma,R0,Re,growth_rate,doubling_time,sir_fit_r2,sir_residual,sir_rel_residual,Re_trend,peak_estimate,initial_cases,final_cases,case_ratio,sir_reliable
948,4,0.4466,-0.0134,0.2353,0,1,0.1111,0.1111,0.001040109136139383,1,0.1668,0.1829,0.912,0.903,-0.0162,42.9,0.2579,9941.7,0.3277,-0.0203,34314.8,28299,30333,1.072,1
927,4,0.517,-0.0264,0.2709,0,1,0.131,0.1111,-0.005354694369761862,0,0.1463,0.1893,0.773,0.755,-0.0431,16.1,0.5751,3189.6,0.0812,-0.0225,86229.5,86229,39256,0.455,1
597,3,0.3217,-0.0176,0.2184,1,0,0.4294,0.4205,0.003498613697989068,2,0.0467,0.0884,0.528,0.527,-0.0418,16.6,-0.5157,644.6,0.3738,0.0265,2487.5,2487,1723,0.693,0
886,5,0.4208,0.024,0.2225,0,1,0.1389,0.1389,0.002486276637534058,1,0.2447,0.2,1.224,1.176,0.0447,15.5,0.7186,2553.4,0.0181,0.0034,184885.2,57903,140819,2.432,1
247,3,0.146,0.0009,0.0728,0,0,0.5192,0.5926,0.01696791445138213,2,0.1092,0.128,0.854,0.854,-0.0187,37.0,-1.5887,18.1,0.1762,0.0093,121.3,121,101,0.83,0
266,1,0.234,0.0219,0.1476,0,0,0.5844,0.6276,0.01203723705273073,2,0.2788,0.1772,1.574,1.573,0.1016,6.8,0.6512,-189.7,-0.4969,-0.0272,877.4,74,380,5.027,1
873,6,0.3233,0.0253,0.1888,0,1,0.1389,0.1389,0.009024905578987883,2,0.2982,0.2,1.491,1.457,0.0982,7.1,0.5071,-26894.7,-0.335,-0.0243,155278.6,15228,80277,5.271,1
346,4,0.3659,0.0156,0.2823,0,0,0.6283,0.5833,-2.794547877203583e-05,1,0.1044,0.1137,0.918,0.918,-0.0093,74.1,-0.5724,253.6,0.397,0.0179,637.9,463,637,1.374,0
664,0,0.5858,-0.0291,0.2522,1,0,0.4635,0.4626,-0.003846915345851515,0,0.1755,0.1795,0.978,0.975,-0.004,172.6,-0.088,-1275.6,-0.3469,-0.0115,7682.8,5370,3675,0.684,0
250,6,0.1054,0.0059,0.0597,0,0,0.5284,0.5926,0.02301796320134674,2,0.1315,0.0856,1.536,1.536,0.0459,15.1,0.4394,36.4,0.2019,0.0185,237.2,57,179,3.087,1
736,2,0.2125,0.0231,0.1637,0,1,0.4074,0.3836,0.005151495634963641,2,0.0671,0.03,2.237,2.019,0.0371,18.7,0.8578,-2931.1,-0.0083,0.018,443399.7,170370,351978,2.066,1
428,2,0.4931,-0.0307,0.3248,0,0,0.5013,0.5,2.639639279424757e-05,1,0.0936,0.1105,0.847,0.847,-0.0169,41.0,0.6138,-38.7,-0.0836,0.0095,731.3,701,461,0.657,1
613,5,0.2742,0.0151,0.1475,1,0,0.4202,0.4358,0.005208821795859206,2,0.164,0.1363,1.203,1.202,0.0277,25.0,0.4456,88.5,0.0346,-0.0417,3052.6,1418,2556,1.802,1
120,2,0.5947,0.0011,0.2243,0,0,0.5359,0.5324,-0.004253830907118548,0,0.1509,0.1586,0.951,0.951,-0.0078,89.2,-0.1026,-13.3,-0.7156,0.0429,46.1,36,17,0.474,0
352,3,0.3947,0.0124,0.2837,0,0,0.6124,0.5833,-0.0002680137224636706,1,0.0953,0.1001,0.952,0.952,-0.0048,143.4,-0.2385,-5.2,-0.0131,-0.0181,570.2,438,393,0.894,0
528,4,0.4955,0.0208,0.2761,1,0,0.5011,0.4593,0.000423751504506865,1,0.0397,0.0383,1.038,1.038,0.0015,472.8,-0.0554,288.5,0.1414,-0.022,2060.0,1700,2039,1.199,0
292,6,0.4806,0.0406,0.3076,0,0,0.6523,0.6389,-0.0004713160133024539,1,0.2071,0.1752,1.182,1.181,0.0318,21.8,0.7607,30.5,0.0257,-0.0404,1453.1,612,1188,1.936,1
344,2,0.3389,-0.012,0.2265,0,0,0.6336,0.5833,0.0008795876871113764,1,0.0948,0.1224,0.774,0.774,-0.0277,25.0,-0.6379,90.1,0.2295,0.0302,524.7,524,391,0.745,0
